scope,item_key,item_id,item_name,quality,added_at,last_velocity,is_active
,,39494,,,2026-08-06T07:29:22Z,,1
,,46068,,,2026-08-06T07:29:22Z,,1
,,48096,,,2026-08-06T07:29:22Z,,1
,,49275,,,2026-08-06T07:29:22Z,,1
,,5359,,,2026-08-06T07:29:22Z,,1
,,44045,,,2026-08-06T07:29:22Z,,1
,,49831,,,2026-08-06T07:29:22Z,,1
,,49305,,,2026-08-06T07:29:22Z,,1
,,51282,,,2026-08-06T07:29:22Z,,1
,,36611,,,2026-08-06T07:29:22Z,,1
,,51957,,,2026-08-06T07:29:22Z,,1
,,51257,,,2026-08-06T07:29:22Z,,1
,,11,,,2026-08-06T07:29:22Z,,1
,,15945,,,2026-08-06T07:29:22Z,,1
,,23349,,,2026-08-06T07:29:22Z,,1
,,49227,,,2026-08-06T07:29:22Z,,1
,,47185,,,2026-08-06T07:29:22Z,,1
,,52276,,,2026-08-06T07:29:22Z,,1
,,27717,,,2026-08-06T07:29:22Z,,1
,,33656,,,2026-08-06T07:29:22Z,,1
,,5064,,,2026-08-06T07:29:22Z,,1
,,30112,,,2026-08-06T07:29:22Z,,1
,,47191,,,2026-08-06T07:29:22Z,,1
,,43987,,,2026-08-06T07:29:22Z,,1
,,47701,,,2026-08-06T07:29:22Z,,1
,,51283,,,2026-08-06T07:29:22Z,,1
,,32937,,,2026-08-06T07:29:22Z,,1
,,7022,,,2026-08-06T07:29:22Z,,1
,,24257,,,2026-08-06T07:29:22Z,,1
,,27721,,,2026-08-06T07:29:22Z,,1
,,50435,,,2026-08-06T07:29:22Z,,1
,,3771,,,2026-08-06T07:29:22Z,,1
,,18362,,,2026-08-06T07:29:22Z,,1
,,2585,,,2026-08-06T07:29:22Z,,1
,,5673,,,2026-08-06T07:29:22Z,,1
,,4782,,,2026-08-06T07:29:22Z,,1
,,23892,,,2026-08-06T07:29:22Z,,1
,,6161,,,2026-08-06T07:29:22Z,,1
,,46040,,,2026-08-06T07:29:22Z,,1
,,31406,,,2026-08-06T07:29:22Z,,1
,,50327,,,2026-08-06T07:29:22Z,,1
,,49292,,,2026-08-06T07:29:22Z,,1
,,19906,,,2026-08-06T07:29:22Z,,1
,,52648,,,2026-08-06T07:29:22Z,,1
,,27742,,,2026-08-06T07:29:22Z,,1
,,49832,,,2026-08-06T07:29:22Z,,1
,,12596,,,2026-08-06T07:29:22Z,,1
,,46855,,,2026-08-06T07:29:22Z,,1
,,52419,,,2026-08-06T07:29:22Z,,1
,,47919,,,2026-08-06T07:29:22Z,,1
,,41829,,,2026-08-06T07:29:22Z,,1
,,43859,,,2026-08-06T07:29:22Z,,1
,,2731,,,2026-08-06T07:29:22Z,,1
,,27274,,,2026-08-06T07:29:22Z,,1
,,4650,,,2026-08-06T07:29:22Z,,1
,,36228,,,2026-08-06T07:29:22Z,,1
,,8561,,,2026-08-06T07:29:22Z,,1
,,8557,,,2026-08-06T07:29:22Z,,1
,,49240,,,2026-08-06T07:29:22Z,,1
,,48162,,,2026-08-06T07:29:22Z,,1
,,52440,,,2026-08-06T07:29:22Z,,1
,,31892,,,2026-08-06T07:29:22Z,,1
,,2228,,,2026-08-06T07:29:22Z,,1
,,5068,,,2026-08-06T07:29:22Z,,1
,,12109,,,2026-08-06T07:29:22Z,,1
,,33245,,,2026-08-06T07:29:22Z,,1
,,5116,,,2026-08-06T07:29:22Z,,1
,,33037,,,2026-08-06T07:29:22Z,,1
,,41774,,,2026-08-06T07:29:22Z,,1
,,28615,,,2026-08-06T07:29:22Z,,1
,,46856,,,2026-08-06T07:29:22Z,,1
,,49259,,,2026-08-06T07:29:22Z,,1
,,32936,,,2026-08-06T07:29:22Z,,1
,,47197,,,2026-08-06T07:29:22Z,,1
,,36080,,,2026-08-06T07:29:22Z,,1
